nid	module	name
04e83d2c	sysPrxForUser	_sys_strncmp
05028763	cellL10n	jis2kuten
051ee3ee	sys_net	socketpoll
0522d1af		_recipf4
052a80d9	cellHttp	cellHttpCreateTransaction
052d29a6	sysPrxForUser	_sys_strcat
05319303	cellSsl	SSL_alert_desc_string_long
05371c8d	cellDmux	cellDmuxDisableEs
054aae63		_fdimf4
055bd74d	cellGcmSys	cellGcmGetTiledPitchSize
055c1462		_ZNSt15basic_streambufIcSt11char_traitsIcEED1Ev
055c1970	cell_FreeType2	FT_New_Size
0561448b	sceNp	sceNpCommerceGetDataFlagAbort
05709bbf	cellMic	cellMicOpenEx
0582338a	cellSpursJq	cellSpursJobQueueAttributeSetDoBusyWaiting
05893e7c	cellLibprof	cellUserTraceRegister
058addc8	cellL10n	UTF8toGB18030
05903101		_ZNKSt7collateIcE7do_hashEPKcS2_
0591826f	cellSearchUtility	cellSearchStartContentSearch
05a1377a	cellGcmSys	cellGcmGetFlipStatus2
05a9cef6		_ZNSt7_MpunctIcE5_InitERKSt8_Locinfo
05af1cb8	sceNp	sceNpBasicGetMatchingInvitationEntry
05bd4438	sys_net	sys_net_get_udpp2p_test_param
05bf2fbd	sceNp2	sceNpMatching2GetWorldInfoList
05c4ee8d	cellPesmUtility	cellPesmInitialize
05c65656	sysPrxForUser	sys_mempool_try_allocate_block
05cb1718		f_fdimf
05d65dff	sceNp	sceNpScoreGetRankingByNpId
05d821c4		_Stoullx
05e27a13		log10f4fast
05ec37c8		_ZSt10_MaklocstrIwEPT_PKcS1_RKSt7_Cvtvec
05efc660		asin
05f1dc9e		_FExp
05f214e0	cellFontFT	FTFaceH_GetMaxVerticalAdvance
060ee3b2	cellL10n	JISstoUTF8s
061049ad	cellFont	cellFontGraphicsSetFontRGBA
0618936b	sysPrxForUser	_sys_vsnprintf
0633edc2	cellSysutil	_ZN8cxmlutil9GetStringERKN4cxml7ElementEPKcPS5_Pj
06574237	sysPrxForUser	_sys_snprintf
065b610d	sceNpTus	sceNpTusSetMultiSlotVariableAsync
066bb1cf	cellMusicDecodeUtility	cellMusicDecodeSetDecodeCommand
068fcbc6	sys_io	sys_config_start
06a553df	cell_FreeType2	FT_Activate_Size
06a840f5	sys_lv2dbg	sys_dbg_set_stacksize_ppu_exception_handler
06bc5b51		_ZNKSt7_MpunctIwE16do_positive_signEv
06bcc1da	cellSsl	R_time
06be743d	cellFont	cellFontGetKerning
06dd4174	cellSail	cellSailRendererAudioFinalize
06ddb53e	cellAtrac	cellAtracSetSecondBuffer
06e681ed	sys_fs	cellFsAccess
06ecef1c	cellSsl	SSLCERT_get_subject_name
06edea9e	cellGcmSys	cellGcmSetUserHandler
070f1020	cellHttp	cellHttpClientGetTotalPoolSize
07168a83	cellL10n	SjisZen2Han
071928b0		_LNan
07236c83	cellSysutilAvc2	cellSysutilAvc2ChangeVideoResolution
07254fda	cellSync	cellSyncBarrierInitialize
07274304		csinh
07296d93	cellSsl	SSL_CTX_use_PrivateKey
073b89d5	cellSysutil	cellSysutilAvcGetSpeakerVolumeLevel
073fa321	cellFont	cellFontOpenFontsetOnMemory
074cd5b5	cellSsl	SSL_CIPHER_get_id
074dbb39	cellUsbd	cellUsbdAllocateMemory
07529113	cellSpurs	cellSpursAttributeSetNamePrefix
077cdb23		btowc
0783bce0	cellPhotoImportUtil	cellPhotoImport
0791015f	cellNetCtl	cellGameUpdateCheckStartAsyncEx
07924359	cellSail	cellSailPlayerCloseEsVideo
079f0e87	sceNpTrophy	sceNpTrophyGetGameProgress
07a3bd16		_ZNSt6locale7_LocimpD1Ev
07b6c924		_ZTv0_n12_NSt13basic_ostreamIwSt11char_traitsIwEED1Ev
07c7971d		_Stoldx
07daed62		log2f4
07e1b12c	cellMic	cellMicRead
07f400e3		_LCbuild
080414bd		conjl
08139bd2		_fmaxf4
081c98be	cellFiber	cellFiberPpuContextRunScheduler
08269f37	cellSysutil	cellSysutilAvcGetShowStatus
0829a21d		asinhl
082bfb09	cellSpurs	_cellSpursQueueInitialize
0835deb2	sceNpTus	sceNpTusSetDataVUser
0836f1f7	cellDtcpIpUtility	cellDtcpIpRead
084b6efd	libsnd3	cellSnd3SMFBind
084eb81a	cell_FreeType2	FT_Stream_OpenLZW
085bff4f		_ZNSt15basic_streambufIwSt11char_traitsIwEE5_LockEv
0871ffb0		mspace_malloc_usable_size
0884fc95	sceNp2	sceNpMatching2RegisterLobbyEventCallback
0891a3fa		_Tlsfree
08cbd8e1	cellPhotoUtility	cellPhotoExportInitialize2
08db2adf	cellSysconfExtUtility	cellSysconfBtGetDeviceList
08e1865c		_ZNKSt8numpunctIwE16do_thousands_sepEv
08ef08a9	sys_lv2dbg	sys_dbg_get_spu_thread_group_ids
090eb5c8	cellCamera	cellCameraSetContainer
09565b21	cellOskExtUtility	cellOskDialogExtInputDeviceUnlock
095e12c6	sceNpClans	sceNpClansSendInvitationResponse
0968aa36	sceNp	sceNpManagerGetTicket
09cbee1e		strxfrm
09ce84ac	cellPhotoUtility	cellPhotoExportFromFile
