ordinal	route	arm
305	null_backend	none
306	null_backend	none
307	null_backend	none
308	null_backend	none
309	null_backend	none
310	null_backend	none
311	null_backend	none
312	null_backend	none
313	null_backend	none
314	null_backend	none
315	null_backend	none
316	null_backend	none
317	null_backend	none
318	null_backend	none
319	null_backend	none
320	null_backend	none
321	null_backend	none
322	null_backend	none
323	null_backend	none
324	routed	MemoryContainerCreate324
325	null_backend	none
326	null_backend	none
327	null_backend	none
328	null_backend	none
329	null_backend	none
330	routed	MmapperAllocateAddress
331	null_backend	none
332	routed	MmapperAllocateSharedMemory
333	null_backend	none
334	routed	MmapperMapSharedMemory
335	null_backend	none
336	null_backend	none
337	routed	MmapperSearchAndMap
338	null_backend	none
339	routed	MmapperAllocateSharedMemoryExt
340	null_backend	none
341	typed	MemoryContainerCreate
342	null_backend	none
343	null_backend	none
344	null_backend	none
345	null_backend	none
346	null_backend	none
347	null_backend	none
348	typed	MemoryAllocate
349	typed	MemoryFree
350	typed	MemoryAllocateFromContainer
351	null_backend	none
352	typed	MemoryGetUserMemorySize
353	null_backend	none
354	null_backend	none
355	null_backend	none
356	null_backend	none
357	null_backend	none
358	null_backend	none
359	null_backend	none
360	null_backend	none
361	null_backend	none
362	routed	MmapperAllocateSharedMemoryFromContainer
363	null_backend	none
364	null_backend	none
365	null_backend	none
366	null_backend	none
367	typed	UartInitialize
368	typed	UartReceive
369	typed	UartSend
370	typed	UartGetParams
371	null_backend	none
372	null_backend	none
373	null_backend	none
374	null_backend	none
375	null_backend	none
376	null_backend	none
377	null_backend	none
378	null_backend	none
379	null_backend	none
380	null_backend	none
381	null_backend	none
382	null_backend	none
383	null_backend	none
384	null_backend	none
385	null_backend	none
386	null_backend	none
387	null_backend	none
388	null_backend	none
389	null_backend	none
390	null_backend	none
391	null_backend	none
392	null_backend	none
393	null_backend	none
394	null_backend	none
395	null_backend	none
396	null_backend	none
397	null_backend	none
398	null_backend	none
399	null_backend	none
400	null_backend	none
401	null_backend	none
402	routed	TtyRead
403	typed	TtyWrite
404	null_backend	none
405	null_backend	none
406	null_backend	none
407	null_backend	none
408	null_backend	none
409	null_backend	none
410	null_backend	none
411	null_backend	none
412	null_backend	none
413	null_backend	none
414	null_backend	none
415	null_backend	none
416	null_backend	none
417	null_backend	none
418	null_backend	none
419	null_backend	none
420	null_backend	none
421	null_backend	none
422	null_backend	none
423	null_backend	none
424	null_backend	none
425	null_backend	none
426	null_backend	none
427	null_backend	none
428	null_backend	none
429	null_backend	none
430	null_backend	none
431	null_backend	none
432	null_backend	none
433	null_backend	none
434	null_backend	none
435	null_backend	none
436	null_backend	none
437	null_backend	none
438	null_backend	none
439	null_backend	none
440	null_backend	none
441	null_backend	none
442	null_backend	none
443	null_backend	none
444	null_backend	none
445	null_backend	none
446	null_backend	none
447	null_backend	none
448	null_backend	none
449	null_backend	none
450	null_backend	none
451	null_backend	none
452	null_backend	none
453	null_backend	none
454	null_backend	none
455	null_backend	none
456	null_backend	none
457	null_backend	none
458	null_backend	none
459	null_backend	none
460	null_backend	none
461	null_backend	none
462	routed	UnsFunc462
463	null_backend	none
464	null_backend	none
465	null_backend	none
466	null_backend	none
467	null_backend	none
468	null_backend	none
469	null_backend	none
470	null_backend	none
471	null_backend	none
472	null_backend	none
473	null_backend	none
474	null_backend	none
475	null_backend	none
476	null_backend	none
477	null_backend	none
478	null_backend	none
479	null_backend	none
480	routed	PrxLoadModule
481	routed	PrxStartModule
482	routed	PrxStopModule
483	routed	PrxUnloadModule
484	routed	PrxRegisterModule
485	null_backend	none
486	routed	PrxRegisterLibrary
487	null_backend	none
488	null_backend	none
489	null_backend	none
490	null_backend	none
491	null_backend	none
492	null_backend	none
493	null_backend	none
494	routed	PrxGetModuleList
495	null_backend	none
496	null_backend	none
497	routed	PrxLoadModuleOnMemcontainer
498	null_backend	none
499	null_backend	none
500	null_backend	none
501	null_backend	none
502	null_backend	none
503	null_backend	none
504	null_backend	none
505	null_backend	none
506	null_backend	none
507	null_backend	none
508	null_backend	none
509	null_backend	none
510	null_backend	none
511	null_backend	none
512	routed	HidIsRoot
513	null_backend	none
514	null_backend	none
515	null_backend	none
516	typed	ConfigOpen
517	typed	ConfigClose
518	typed	ConfigGetServiceEvent
519	typed	ConfigAddServiceListener
520	typed	ConfigRemoveServiceListener
521	typed	ConfigRegisterService
522	typed	ConfigUnregisterService
523	null_backend	none
524	null_backend	none
525	null_backend	none
526	null_backend	none
527	null_backend	none
528	null_backend	none
529	null_backend	none
530	typed	UsbdInitialize
531	typed	UsbdFinalize
532	typed	UsbdGetDeviceList
533	typed	UsbdGetDescriptorSize
534	typed	UsbdGetDescriptor
535	typed	UsbdRegisterLdd
536	typed	UsbdUnregisterLdd
537	typed	UsbdOpenPipe
538	typed	UsbdOpenDefaultPipe
539	typed	UsbdClosePipe
540	typed	UsbdReceiveEvent
541	typed	UsbdDetectEvent
542	null_backend	none
543	null_backend	none
544	null_backend	none
545	null_backend	none
546	null_backend	none
547	null_backend	none
548	null_backend	none
549	null_backend	none
550	null_backend	none
551	null_backend	none
552	null_backend	none
553	null_backend	none
554	null_backend	none
555	null_backend	none
556	null_backend	none
557	null_backend	none
558	null_backend	none
559	null_backend	none
560	null_backend	none
561	null_backend	none
562	null_backend	none
563	null_backend	none
564	null_backend	none
565	null_backend	none
566	null_backend	none
567	null_backend	none
568	null_backend	none
569	null_backend	none
570	null_backend	none
571	null_backend	none
572	null_backend	none
573	null_backend	none
574	null_backend	none
575	null_backend	none
576	null_backend	none
577	null_backend	none
578	null_backend	none
579	null_backend	none
580	null_backend	none
581	null_backend	none
582	null_backend	none
583	null_backend	none
584	null_backend	none
585	null_backend	none
586	null_backend	none
587	null_backend	none
588	null_backend	none
589	null_backend	none
590	null_backend	none
591	null_backend	none
592	null_backend	none
593	null_backend	none
594	null_backend	none
595	null_backend	none
596	null_backend	none
597	null_backend	none
598	null_backend	none
599	null_backend	none
600	null_backend	none
601	null_backend	none
602	null_backend	none
603	null_backend	none
604	null_backend	none
605	null_backend	none
606	null_backend	none
607	null_backend	none
608	null_backend	none
609	null_backend	none
610	null_backend	none
611	null_backend	none
612	null_backend	none
613	null_backend	none
614	null_backend	none
615	null_backend	none
616	null_backend	none
617	null_backend	none
618	null_backend	none
619	null_backend	none
620	null_backend	none
621	routed	GamepadYconIf
622	null_backend	none
623	null_backend	none
624	null_backend	none
625	null_backend	none
626	null_backend	none
627	null_backend	none
628	null_backend	none
629	null_backend	none
630	null_backend	none
631	null_backend	none
632	null_backend	none
633	null_backend	none
634	null_backend	none
635	null_backend	none
636	null_backend	none
637	null_backend	none
638	null_backend	none
639	null_backend	none
640	null_backend	none
641	null_backend	none
642	null_backend	none
643	null_backend	none
644	null_backend	none
645	null_backend	none
646	null_backend	none
647	null_backend	none
648	null_backend	none
649	null_backend	none
650	null_backend	none
651	null_backend	none
652	null_backend	none
653	null_backend	none
654	null_backend	none
655	null_backend	none
656	null_backend	none
657	null_backend	none
658	null_backend	none
659	null_backend	none
660	null_backend	none
661	null_backend	none
662	null_backend	none
663	null_backend	none
664	null_backend	none
665	null_backend	none
666	null_backend	none
667	null_backend	none
668	typed	SysRsxMemoryAllocate
669	typed	SysRsxMemoryFree
670	typed	SysRsxContextAllocate
671	typed	SysRsxContextFree
672	typed	SysRsxContextIomap
673	null_backend	none
674	typed	SysRsxContextAttribute
675	typed	SysRsxDeviceMap
676	null_backend	none
677	routed	RsxAttribute
678	null_backend	none
679	null_backend	none
680	null_backend	none
681	null_backend	none
682	null_backend	none
683	null_backend	none
684	null_backend	none
685	null_backend	none
686	null_backend	none
687	null_backend	none
688	null_backend	none
689	null_backend	none
690	null_backend	none
691	null_backend	none
692	null_backend	none
693	null_backend	none
694	null_backend	none
695	null_backend	none
696	null_backend	none
697	null_backend	none
698	null_backend	none
699	null_backend	none
700	null_backend	none
701	null_backend	none
702	null_backend	none
703	null_backend	none
704	null_backend	none
705	null_backend	none
706	null_backend	none
707	null_backend	none
708	null_backend	none
709	null_backend	none
710	null_backend	none
711	null_backend	none
712	null_backend	none
713	null_backend	none
714	null_backend	none
715	null_backend	none
716	null_backend	none
717	null_backend	none
718	null_backend	none
719	null_backend	none
720	null_backend	none
721	null_backend	none
722	null_backend	none
723	null_backend	none
724	null_backend	none
725	null_backend	none
726	null_backend	none
727	null_backend	none
728	null_backend	none
729	null_backend	none
730	null_backend	none
731	null_backend	none
732	null_backend	none
733	null_backend	none
734	null_backend	none
735	null_backend	none
736	null_backend	none
737	null_backend	none
738	null_backend	none
739	null_backend	none
740	null_backend	none
741	null_backend	none
742	null_backend	none
743	null_backend	none
744	null_backend	none
745	null_backend	none
746	null_backend	none
747	null_backend	none
748	null_backend	none
749	null_backend	none
750	null_backend	none
751	null_backend	none
752	null_backend	none
753	null_backend	none
754	null_backend	none
755	null_backend	none
756	null_backend	none
757	null_backend	none
758	null_backend	none
759	null_backend	none
760	null_backend	none
761	null_backend	none
762	null_backend	none
763	null_backend	none
764	null_backend	none
765	null_backend	none
766	null_backend	none
767	null_backend	none
768	null_backend	none
769	null_backend	none
770	null_backend	none
771	null_backend	none
772	null_backend	none
773	null_backend	none
774	null_backend	none
775	null_backend	none
776	null_backend	none
777	null_backend	none
778	null_backend	none
779	null_backend	none
780	null_backend	none
781	null_backend	none
782	null_backend	none
783	null_backend	none
784	null_backend	none
785	null_backend	none
786	null_backend	none
787	null_backend	none
788	null_backend	none
789	null_backend	none
790	null_backend	none
791	null_backend	none
792	null_backend	none
793	null_backend	none
794	null_backend	none
795	null_backend	none
796	null_backend	none
797	null_backend	none
798	null_backend	none
799	null_backend	none
800	null_backend	none
801	typed	FsOpen
802	typed	FsRead
803	typed	FsWrite
804	typed	FsClose
805	typed	FsOpendir
806	typed	FsReaddir
807	typed	FsClosedir
808	typed	FsStat
809	typed	FsFstat
810	null_backend	none
811	null_backend	none
812	null_backend	none
813	null_backend	none
814	null_backend	none
815	null_backend	none
816	null_backend	none
817	null_backend	none
818	typed	FsLseek
819	null_backend	none
820	null_backend	none
821	null_backend	none
822	null_backend	none
823	null_backend	none
824	null_backend	none
825	null_backend	none
826	null_backend	none
827	null_backend	none
828	null_backend	none
829	null_backend	none
830	null_backend	none
831	null_backend	none
832	null_backend	none
833	null_backend	none
834	null_backend	none
835	null_backend	none
836	null_backend	none
837	null_backend	none
838	null_backend	none
839	null_backend	none
840	null_backend	none
841	null_backend	none
842	null_backend	none
843	null_backend	none
844	null_backend	none
845	null_backend	none
846	null_backend	none
847	null_backend	none
848	null_backend	none
849	null_backend	none
850	null_backend	none
851	null_backend	none
852	null_backend	none
853	null_backend	none
854	null_backend	none
855	null_backend	none
856	null_backend	none
857	null_backend	none
858	null_backend	none
859	null_backend	none
860	null_backend	none
861	null_backend	none
862	null_backend	none
863	null_backend	none
864	null_backend	none
865	null_backend	none
866	null_backend	none
