ordinal	packet	name	source	ref	fw_from	fw_to
46	none	sys_ppu_thread_get_join_state	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
46	none	sys_ppu_thread_get_join_state	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PPU_THREAD_GET_JOIN_STATE	none	none
47	none	sys_ppu_thread_set_priority	cellgov	cellgov_ps3_abi::lv2::syscall::PPU_THREAD_SET_PRIORITY	none	none
47	none	sys_ppu_thread_set_priority	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
47	none	sys_ppu_thread_set_priority	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PPU_THREAD_SET_PRIORITY	none	none
48	none	sys_ppu_thread_get_priority	cellgov	cellgov_ps3_abi::lv2::syscall::PPU_THREAD_GET_PRIORITY	none	none
48	none	sys_ppu_thread_get_priority	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
48	none	sys_ppu_thread_get_priority	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PPU_THREAD_GET_PRIORITY	none	none
49	none	sys_ppu_thread_get_stack_information	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
49	none	sys_ppu_thread_get_stack_information	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PPU_THREAD_GET_STACK_INFORMATION	none	none
50	none	sys_ppu_thread_stop	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
51	none	sys_ppu_thread_restart	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
52	none	_sys_ppu_thread_create	cellgov	cellgov_ps3_abi::lv2::syscall::PPU_THREAD_CREATE	none	none
52	none	sys_ppu_thread_create	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
53	none	sys_ppu_thread_start	cellgov	cellgov_ps3_abi::lv2::syscall::PPU_THREAD_START	none	none
53	none	sys_ppu_thread_start	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
56	none	sys_ppu_thread_rename	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
56	none	sys_ppu_thread_rename	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PPU_THREAD_RENAME	none	none
57	none	sys_ppu_thread_recover_page_fault	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
57	none	sys_ppu_thread_recover_page_fault	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PPU_THREAD_RECOVER_PAGE_FAULT	none	none
58	none	sys_ppu_thread_get_page_fault_context	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
58	none	sys_ppu_thread_get_page_fault_context	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_PPU_THREAD_GET_PAGE_FAULT_CONTEXT	none	none
60	none	sys_trace_create	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
61	none	sys_trace_start	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
62	none	sys_trace_stop	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
63	none	sys_trace_update_top_index	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
64	none	sys_trace_destroy	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
65	none	sys_trace_drain	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
66	none	sys_trace_attach_process	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
67	none	sys_trace_allocate_buffer	psdevwiki	https://www.psdevwiki.com/ps3/LV2_Functions_and_Syscalls	none	none
67	none	sys_trace_allocate_buffer	psl1ght	ppu/include/lv2/syscalls.h:SYSCALL_TRACE_ALLOCATE_BUFFER	none	none
