record	from_fw	to_fw	comparison	kind	ordinal
4089	4.50	4.53	compared	retargeted	901
4090	4.50	4.53	compared	retargeted	906
4091	4.50	4.53	compared	retargeted	914
4092	4.50	4.53	compared	retargeted	933
4093	4.50	4.53	compared	retargeted	934
4094	4.50	4.53	compared	retargeted	935
4095	4.50	4.53	compared	retargeted	936
4096	4.50	4.53	compared	retargeted	937
4097	4.50	4.53	compared	retargeted	941
4098	4.50	4.53	compared	retargeted	942
4099	4.50	4.53	compared	retargeted	946
4100	4.50	4.53	compared	retargeted	947
4101	4.50	4.53	compared	retargeted	951
4102	4.50	4.53	compared	retargeted	957
4103	4.50	4.53	compared	retargeted	958
4104	4.50	4.53	compared	retargeted	959
4105	4.50	4.53	compared	retargeted	973
4106	4.50	4.53	compared	retargeted	987
4107	4.50	4.53	compared	retargeted	988
4108	4.50	4.53	compared	retargeted	989
4109	4.53	4.55	compared	retargeted	0
4110	4.53	4.55	compared	retargeted	20
4111	4.53	4.55	compared	retargeted	41
4112	4.53	4.55	compared	retargeted	42
4113	4.53	4.55	compared	retargeted	84
4114	4.53	4.55	compared	retargeted	149
4115	4.53	4.55	compared	retargeted	162
4116	4.53	4.55	compared	retargeted	163
4117	4.53	4.55	compared	retargeted	164
4118	4.53	4.55	compared	retargeted	168
4119	4.53	4.55	compared	retargeted	183
4120	4.53	4.55	compared	retargeted	189
4121	4.53	4.55	compared	retargeted	195
4122	4.53	4.55	compared	retargeted	260
4123	4.53	4.55	compared	retargeted	344
4124	4.53	4.55	compared	retargeted	347
4125	4.53	4.55	compared	retargeted	371
4126	4.53	4.55	compared	retargeted	412
4127	4.53	4.55	compared	retargeted	461
4128	4.53	4.55	compared	retargeted	462
4129	4.53	4.55	compared	retargeted	476
4130	4.53	4.55	compared	retargeted	491
4131	4.53	4.55	compared	retargeted	515
4132	4.53	4.55	compared	retargeted	576
4133	4.53	4.55	compared	retargeted	577
4134	4.53	4.55	compared	retargeted	678
4135	4.53	4.55	compared	retargeted	870
4136	4.53	4.55	compared	retargeted	871
4137	4.53	4.55	compared	retargeted	872
4138	4.53	4.55	compared	retargeted	879
4139	4.53	4.55	compared	retargeted	900
4140	4.53	4.55	compared	retargeted	901
4141	4.53	4.55	compared	retargeted	906
4142	4.53	4.55	compared	retargeted	914
4143	4.53	4.55	compared	retargeted	933
4144	4.53	4.55	compared	retargeted	934
4145	4.53	4.55	compared	retargeted	935
4146	4.53	4.55	compared	retargeted	936
4147	4.53	4.55	compared	retargeted	937
4148	4.53	4.55	compared	retargeted	941
4149	4.53	4.55	compared	retargeted	942
4150	4.53	4.55	compared	retargeted	946
4151	4.53	4.55	compared	retargeted	947
4152	4.53	4.55	compared	retargeted	951
4153	4.53	4.55	compared	retargeted	957
4154	4.53	4.55	compared	retargeted	958
4155	4.53	4.55	compared	retargeted	959
4156	4.53	4.55	compared	retargeted	973
4157	4.53	4.55	compared	retargeted	988
4158	4.53	4.55	compared	retargeted	989
4159	4.55	4.60	compared	retargeted	0
4160	4.55	4.60	compared	retargeted	20
4161	4.55	4.60	compared	retargeted	41
4162	4.55	4.60	compared	retargeted	42
4163	4.55	4.60	compared	retargeted	149
4164	4.55	4.60	compared	retargeted	162
4165	4.55	4.60	compared	retargeted	163
4166	4.55	4.60	compared	retargeted	164
4167	4.55	4.60	compared	retargeted	168
4168	4.55	4.60	compared	retargeted	183
4169	4.55	4.60	compared	retargeted	189
4170	4.55	4.60	compared	retargeted	195
4171	4.55	4.60	compared	retargeted	260
4172	4.55	4.60	compared	retargeted	344
4173	4.55	4.60	compared	retargeted	347
4174	4.55	4.60	compared	retargeted	371
4175	4.55	4.60	compared	retargeted	412
4176	4.55	4.60	compared	retargeted	461
4177	4.55	4.60	compared	retargeted	462
4178	4.55	4.60	compared	retargeted	467
4179	4.55	4.60	compared	retargeted	476
4180	4.55	4.60	compared	retargeted	480
4181	4.55	4.60	compared	retargeted	491
4182	4.55	4.60	compared	retargeted	515
4183	4.55	4.60	compared	retargeted	576
4184	4.55	4.60	compared	retargeted	577
4185	4.55	4.60	compared	retargeted	622
4186	4.55	4.60	compared	retargeted	623
4187	4.55	4.60	compared	retargeted	678
4188	4.55	4.60	compared	retargeted	870
4189	4.55	4.60	compared	retargeted	871
4190	4.55	4.60	compared	retargeted	900
4191	4.55	4.60	compared	retargeted	901
4192	4.55	4.60	compared	retargeted	906
4193	4.55	4.60	compared	retargeted	914
4194	4.55	4.60	compared	retargeted	933
4195	4.55	4.60	compared	retargeted	934
4196	4.55	4.60	compared	retargeted	935
4197	4.55	4.60	compared	retargeted	936
4198	4.55	4.60	compared	retargeted	937
4199	4.55	4.60	compared	retargeted	941
4200	4.55	4.60	compared	retargeted	942
4201	4.55	4.60	compared	retargeted	946
4202	4.55	4.60	compared	retargeted	947
4203	4.55	4.60	compared	retargeted	951
4204	4.55	4.60	compared	retargeted	957
4205	4.55	4.60	compared	retargeted	958
4206	4.55	4.60	compared	retargeted	959
4207	4.55	4.60	compared	retargeted	973
4208	4.55	4.60	compared	retargeted	987
4209	4.55	4.60	compared	retargeted	988
4210	4.55	4.60	compared	retargeted	989
4211	4.60	4.65	compared	retargeted	0
4212	4.60	4.65	compared	retargeted	20
4213	4.60	4.65	compared	retargeted	41
4214	4.60	4.65	compared	retargeted	42
4215	4.60	4.65	compared	retargeted	149
4216	4.60	4.65	compared	retargeted	162
4217	4.60	4.65	compared	retargeted	163
4218	4.60	4.65	compared	retargeted	164
4219	4.60	4.65	compared	retargeted	168
4220	4.60	4.65	compared	retargeted	183
4221	4.60	4.65	compared	retargeted	189
4222	4.60	4.65	compared	retargeted	195
4223	4.60	4.65	compared	retargeted	260
4224	4.60	4.65	compared	retargeted	344
4225	4.60	4.65	compared	retargeted	347
4226	4.60	4.65	compared	retargeted	371
4227	4.60	4.65	compared	retargeted	412
4228	4.60	4.65	compared	retargeted	461
4229	4.60	4.65	compared	retargeted	462
4230	4.60	4.65	compared	retargeted	491
4231	4.60	4.65	compared	retargeted	515
4232	4.60	4.65	compared	retargeted	576
4233	4.60	4.65	compared	retargeted	678
4234	4.60	4.65	compared	retargeted	900
4235	4.60	4.65	compared	retargeted	901
4236	4.60	4.65	compared	retargeted	906
4237	4.60	4.65	compared	retargeted	914
4238	4.60	4.65	compared	retargeted	933
4239	4.60	4.65	compared	retargeted	934
4240	4.60	4.65	compared	retargeted	935
4241	4.60	4.65	compared	retargeted	936
4242	4.60	4.65	compared	retargeted	937
4243	4.60	4.65	compared	retargeted	941
4244	4.60	4.65	compared	retargeted	942
4245	4.60	4.65	compared	retargeted	946
4246	4.60	4.65	compared	retargeted	947
4247	4.60	4.65	compared	retargeted	951
4248	4.60	4.65	compared	retargeted	957
4249	4.60	4.65	compared	retargeted	958
4250	4.60	4.65	compared	retargeted	959
4251	4.60	4.65	compared	retargeted	973
4252	4.60	4.65	compared	retargeted	987
4253	4.60	4.65	compared	retargeted	988
4254	4.60	4.65	compared	retargeted	989
4255	4.66	4.70	compared	retargeted	0
4256	4.66	4.70	compared	retargeted	20
4257	4.66	4.70	compared	retargeted	41
4258	4.66	4.70	compared	retargeted	42
4259	4.66	4.70	compared	retargeted	149
4260	4.66	4.70	compared	retargeted	162
4261	4.66	4.70	compared	retargeted	163
4262	4.66	4.70	compared	retargeted	164
4263	4.66	4.70	compared	retargeted	168
4264	4.66	4.70	compared	retargeted	183
4265	4.66	4.70	compared	retargeted	189
4266	4.66	4.70	compared	retargeted	195
4267	4.66	4.70	compared	retargeted	260
4268	4.66	4.70	compared	retargeted	344
4269	4.66	4.70	compared	retargeted	347
4270	4.66	4.70	compared	retargeted	371
4271	4.66	4.70	compared	retargeted	412
4272	4.66	4.70	compared	retargeted	461
4273	4.66	4.70	compared	retargeted	462
4274	4.66	4.70	compared	retargeted	491
4275	4.66	4.70	compared	retargeted	515
4276	4.66	4.70	compared	retargeted	576
4277	4.66	4.70	compared	retargeted	577
4278	4.66	4.70	compared	retargeted	678
4279	4.66	4.70	compared	retargeted	900
4280	4.66	4.70	compared	retargeted	901
4281	4.66	4.70	compared	retargeted	906
4282	4.66	4.70	compared	retargeted	914
4283	4.66	4.70	compared	retargeted	933
4284	4.66	4.70	compared	retargeted	934
4285	4.66	4.70	compared	retargeted	935
4286	4.66	4.70	compared	retargeted	936
4287	4.66	4.70	compared	retargeted	937
4288	4.66	4.70	compared	retargeted	941
4289	4.66	4.70	compared	retargeted	942
4290	4.66	4.70	compared	retargeted	946
4291	4.66	4.70	compared	retargeted	947
4292	4.66	4.70	compared	retargeted	951
4293	4.66	4.70	compared	retargeted	957
4294	4.66	4.70	compared	retargeted	958
4295	4.66	4.70	compared	retargeted	959
4296	4.66	4.70	compared	retargeted	973
4297	4.66	4.70	compared	retargeted	987
4298	4.66	4.70	compared	retargeted	988
4299	4.66	4.70	compared	retargeted	989
4300	4.70	4.75	compared	retargeted	0
4301	4.70	4.75	compared	retargeted	20
4302	4.70	4.75	compared	retargeted	41
4303	4.70	4.75	compared	retargeted	42
4304	4.70	4.75	compared	retargeted	149
4305	4.70	4.75	compared	retargeted	162
4306	4.70	4.75	compared	retargeted	163
4307	4.70	4.75	compared	retargeted	164
4308	4.70	4.75	compared	retargeted	168
4309	4.70	4.75	compared	retargeted	183
4310	4.70	4.75	compared	retargeted	189
4311	4.70	4.75	compared	retargeted	195
4312	4.70	4.75	compared	retargeted	260
4313	4.70	4.75	compared	retargeted	344
4314	4.70	4.75	compared	retargeted	347
4315	4.70	4.75	compared	retargeted	371
4316	4.70	4.75	compared	retargeted	412
4317	4.70	4.75	compared	retargeted	461
4318	4.70	4.75	compared	retargeted	462
4319	4.70	4.75	compared	retargeted	491
4320	4.70	4.75	compared	retargeted	515
4321	4.70	4.75	compared	retargeted	576
4322	4.70	4.75	compared	retargeted	577
4323	4.70	4.75	compared	retargeted	678
4324	4.70	4.75	compared	retargeted	900
4325	4.70	4.75	compared	retargeted	901
4326	4.70	4.75	compared	retargeted	906
4327	4.70	4.75	compared	retargeted	914
4328	4.70	4.75	compared	retargeted	933
4329	4.70	4.75	compared	retargeted	934
4330	4.70	4.75	compared	retargeted	935
4331	4.70	4.75	compared	retargeted	936
4332	4.70	4.75	compared	retargeted	937
4333	4.70	4.75	compared	retargeted	941
4334	4.70	4.75	compared	retargeted	942
4335	4.70	4.75	compared	retargeted	946
4336	4.70	4.75	compared	retargeted	947
4337	4.70	4.75	compared	retargeted	951
4338	4.70	4.75	compared	retargeted	957
4339	4.70	4.75	compared	retargeted	958
4340	4.70	4.75	compared	retargeted	959
4341	4.70	4.75	compared	retargeted	973
4342	4.70	4.75	compared	retargeted	987
4343	4.70	4.75	compared	retargeted	988
4344	4.70	4.75	compared	retargeted	989
4345	4.78	4.80	compared	retargeted	0
4346	4.78	4.80	compared	retargeted	20
4347	4.78	4.80	compared	retargeted	41
4348	4.78	4.80	compared	retargeted	42
4349	4.78	4.80	compared	retargeted	149
4350	4.78	4.80	compared	retargeted	162
4351	4.78	4.80	compared	retargeted	163
4352	4.78	4.80	compared	retargeted	164
4353	4.78	4.80	compared	retargeted	168
4354	4.78	4.80	compared	retargeted	183
4355	4.78	4.80	compared	retargeted	189
4356	4.78	4.80	compared	retargeted	195
4357	4.78	4.80	compared	retargeted	260
4358	4.78	4.80	compared	retargeted	344
4359	4.78	4.80	compared	retargeted	347
4360	4.78	4.80	compared	retargeted	371
4361	4.78	4.80	compared	retargeted	412
4362	4.78	4.80	compared	retargeted	461
4363	4.78	4.80	compared	retargeted	462
4364	4.78	4.80	compared	retargeted	491
4365	4.78	4.80	compared	retargeted	515
4366	4.78	4.80	compared	retargeted	576
4367	4.78	4.80	compared	retargeted	678
4368	4.78	4.80	compared	retargeted	900
4369	4.78	4.80	compared	retargeted	901
4370	4.78	4.80	compared	retargeted	906
4371	4.78	4.80	compared	retargeted	914
4372	4.78	4.80	compared	retargeted	933
4373	4.78	4.80	compared	retargeted	934
4374	4.78	4.80	compared	retargeted	935
4375	4.78	4.80	compared	retargeted	936
4376	4.78	4.80	compared	retargeted	937
4377	4.78	4.80	compared	retargeted	941
4378	4.78	4.80	compared	retargeted	942
4379	4.78	4.80	compared	retargeted	946
4380	4.78	4.80	compared	retargeted	947
4381	4.78	4.80	compared	retargeted	951
4382	4.78	4.80	compared	retargeted	957
4383	4.78	4.80	compared	retargeted	958
4384	4.78	4.80	compared	retargeted	959
4385	4.78	4.80	compared	retargeted	973
4386	4.78	4.80	compared	retargeted	987
4387	4.78	4.80	compared	retargeted	988
4388	4.78	4.80	compared	retargeted	989
4389	4.80	4.81	compared	retargeted	0
4390	4.80	4.81	compared	retargeted	20
4391	4.80	4.81	compared	retargeted	41
4392	4.80	4.81	compared	retargeted	42
4393	4.80	4.81	compared	retargeted	149
4394	4.80	4.81	compared	retargeted	162
4395	4.80	4.81	compared	retargeted	163
4396	4.80	4.81	compared	retargeted	164
4397	4.80	4.81	compared	retargeted	168
4398	4.80	4.81	compared	retargeted	183
4399	4.80	4.81	compared	retargeted	189
4400	4.80	4.81	compared	retargeted	195
4401	4.80	4.81	compared	retargeted	260
4402	4.80	4.81	compared	retargeted	344
4403	4.80	4.81	compared	retargeted	347
4404	4.80	4.81	compared	retargeted	371
4405	4.80	4.81	compared	retargeted	412
4406	4.80	4.81	compared	retargeted	461
4407	4.80	4.81	compared	retargeted	462
4408	4.80	4.81	compared	retargeted	491
4409	4.80	4.81	compared	retargeted	515
4410	4.80	4.81	compared	retargeted	576
4411	4.80	4.81	compared	retargeted	678
4412	4.80	4.81	compared	retargeted	900
4413	4.80	4.81	compared	retargeted	901
4414	4.80	4.81	compared	retargeted	906
4415	4.80	4.81	compared	retargeted	914
4416	4.80	4.81	compared	retargeted	933
4417	4.80	4.81	compared	retargeted	934
4418	4.80	4.81	compared	retargeted	935
4419	4.80	4.81	compared	retargeted	936
4420	4.80	4.81	compared	retargeted	937
4421	4.80	4.81	compared	retargeted	941
4422	4.80	4.81	compared	retargeted	942
4423	4.80	4.81	compared	retargeted	946
4424	4.80	4.81	compared	retargeted	947
4425	4.80	4.81	compared	retargeted	951
4426	4.80	4.81	compared	retargeted	957
4427	4.80	4.81	compared	retargeted	958
4428	4.80	4.81	compared	retargeted	959
4429	4.80	4.81	compared	retargeted	973
4430	4.80	4.81	compared	retargeted	987
4431	4.80	4.81	compared	retargeted	988
4432	4.80	4.81	compared	retargeted	989
4433	4.89	4.90	compared	retargeted	0
4434	4.89	4.90	compared	retargeted	20
4435	4.89	4.90	compared	retargeted	41
4436	4.89	4.90	compared	retargeted	42
4437	4.89	4.90	compared	retargeted	149
4438	4.89	4.90	compared	retargeted	162
4439	4.89	4.90	compared	retargeted	163
4440	4.89	4.90	compared	retargeted	164
4441	4.89	4.90	compared	retargeted	168
4442	4.89	4.90	compared	retargeted	183
4443	4.89	4.90	compared	retargeted	189
4444	4.89	4.90	compared	retargeted	195
4445	4.89	4.90	compared	retargeted	260
4446	4.89	4.90	compared	retargeted	344
4447	4.89	4.90	compared	retargeted	347
4448	4.89	4.90	compared	retargeted	371
4449	4.89	4.90	compared	retargeted	412
4450	4.89	4.90	compared	retargeted	461
4451	4.89	4.90	compared	retargeted	462
4452	4.89	4.90	compared	retargeted	491
4453	4.89	4.90	compared	retargeted	515
4454	4.89	4.90	compared	retargeted	576
4455	4.89	4.90	compared	retargeted	678
4456	4.89	4.90	compared	retargeted	900
4457	4.89	4.90	compared	retargeted	901
4458	4.89	4.90	compared	retargeted	906
4459	4.89	4.90	compared	retargeted	914
4460	4.89	4.90	compared	retargeted	933
4461	4.89	4.90	compared	retargeted	934
4462	4.89	4.90	compared	retargeted	935
4463	4.89	4.90	compared	retargeted	936
4464	4.89	4.90	compared	retargeted	937
4465	4.89	4.90	compared	retargeted	941
4466	4.89	4.90	compared	retargeted	942
4467	4.89	4.90	compared	retargeted	946
4468	4.89	4.90	compared	retargeted	947
4469	4.89	4.90	compared	retargeted	951
4470	4.89	4.90	compared	retargeted	957
4471	4.89	4.90	compared	retargeted	958
4472	4.89	4.90	compared	retargeted	959
4473	4.89	4.90	compared	retargeted	973
4474	4.89	4.90	compared	retargeted	987
4475	4.89	4.90	compared	retargeted	988
4476	4.89	4.90	compared	retargeted	989
4477	4.90	4.91	compared	retargeted	0
4478	4.90	4.91	compared	retargeted	20
4479	4.90	4.91	compared	retargeted	41
4480	4.90	4.91	compared	retargeted	42
4481	4.90	4.91	compared	retargeted	149
4482	4.90	4.91	compared	retargeted	162
4483	4.90	4.91	compared	retargeted	163
4484	4.90	4.91	compared	retargeted	164
4485	4.90	4.91	compared	retargeted	168
4486	4.90	4.91	compared	retargeted	183
4487	4.90	4.91	compared	retargeted	189
4488	4.90	4.91	compared	retargeted	195
4489	4.90	4.91	compared	retargeted	260
4490	4.90	4.91	compared	retargeted	344
4491	4.90	4.91	compared	retargeted	347
4492	4.90	4.91	compared	retargeted	371
4493	4.90	4.91	compared	retargeted	412
4494	4.90	4.91	compared	retargeted	461
4495	4.90	4.91	compared	retargeted	462
4496	4.90	4.91	compared	retargeted	491
4497	4.90	4.91	compared	retargeted	515
4498	4.90	4.91	compared	retargeted	576
4499	4.90	4.91	compared	retargeted	678
4500	4.90	4.91	compared	retargeted	900
4501	4.90	4.91	compared	retargeted	901
4502	4.90	4.91	compared	retargeted	906
4503	4.90	4.91	compared	retargeted	914
4504	4.90	4.91	compared	retargeted	933
4505	4.90	4.91	compared	retargeted	934
4506	4.90	4.91	compared	retargeted	935
4507	4.90	4.91	compared	retargeted	936
4508	4.90	4.91	compared	retargeted	937
4509	4.90	4.91	compared	retargeted	941
4510	4.90	4.91	compared	retargeted	942
4511	4.90	4.91	compared	retargeted	946
4512	4.90	4.91	compared	retargeted	947
4513	4.90	4.91	compared	retargeted	951
4514	4.90	4.91	compared	retargeted	957
4515	4.90	4.91	compared	retargeted	958
4516	4.90	4.91	compared	retargeted	959
4517	4.90	4.91	compared	retargeted	973
4518	4.90	4.91	compared	retargeted	987
4519	4.90	4.91	compared	retargeted	988
4520	4.90	4.91	compared	retargeted	989
